symbol,angel_token,exchange,instrument_type,expiry
678AP39-SG,3200,NSE,,
678GA31-SG,4578,NSE,,
678IRFC30-N0,756331,NSE,,
678JK33-SG,3244,NSE,,
678KA32-SG,182,NSE,,
678KL31-SG,3655,NSE,,
678KL40-SG,756866,NSE,,
678KL46-SG,756103,NSE,,
678MH31-SG,3659,NSE,,
678MH32-SG,185,NSE,,
678MH39-SG,756096,NSE,,
678MN31-SG,3304,NSE,,
678RJ30-SG,22063,NSE,,
678RJ31-SG,3241,NSE,,
678RJ31A-SG,3373,NSE,,
678RJ47-SG,756104,NSE,,
678SK31-SG,3643,NSE,,
678TS50-SG,878,NSE,,
678WB35-SG,1169,NSE,,
679AP34-SG,1004,NSE,,
679AP34A-SG,756906,NSE,,
679AP36-SG,756863,NSE,,
679AS45-SG,756867,NSE,,
679GS2027-GS,7202,NSE,,
679GS2029-GS,7195,NSE,,
679GS2031-GS,28894,NSE,,
679GS2034-GS,25736,NSE,,
679GS2034A-GS,27273,NSE,,
679HP34-SG,756102,NSE,,
679HR30-SG,761319,NSE,,
